"","prolificID","assigned_condition","block_nr","trial_nr","grid","selected_choice","reward"
"274","66cc80d93247b5e14b3b7112",2,13,0,4,120,54
"275","66cc80d93247b5e14b3b7112",2,14,0,18,221,11
"276","66cc80d93247b5e14b3b7112",2,15,0,12,179,54
"277","66cc80d93247b5e14b3b7112",2,16,0,11,149,66
"278","66cc80d93247b5e14b3b7112",2,17,0,5,218,44
"279","66cc80d93247b5e14b3b7112",2,18,0,10,224,20
"280","66cc80d93247b5e14b3b7112",2,19,0,6,179,38
"281","66156b2dc0794709cb34b38b",3,0,0,4,120,48
"282","66156b2dc0794709cb34b38b",3,1,0,18,221,35
"283","66156b2dc0794709cb34b38b",3,2,0,19,89,50
"284","66156b2dc0794709cb34b38b",3,3,0,2,219,70
"285","66156b2dc0794709cb34b38b",3,4,0,3,73,10
"286","66156b2dc0794709cb34b38b",3,5,0,17,179,60
"287","66156b2dc0794709cb34b38b",3,6,0,15,224,15
"288","66156b2dc0794709cb34b38b",3,7,0,0,149,62
"289","66156b2dc0794709cb34b38b",3,8,0,1,89,25
"290","66156b2dc0794709cb34b38b",3,9,0,16,149,30
"291","66156b2dc0794709cb34b38b",3,10,0,9,224,55
"292","66156b2dc0794709cb34b38b",3,11,0,7,224,35
"293","66156b2dc0794709cb34b38b",3,12,0,8,177,6
"294","66156b2dc0794709cb34b38b",3,13,0,14,89,55
